user_id,product_id,timestamp,hour
1,1,1675353943,16
1,2,1675353943,16
1,3,1675533815,18
1,4,1675533815,18
1,5,1675712072,19
1,5,1675967908,18
1,6,1675967908,18
1,7,1676229045,19
1,8,1676229045,19
1,8,1676297815,14
1,9,1676297815,14
1,10,1676297815,14
1,11,1676659134,18
1,5,1676659134,18
1,1,1676916313,18
1,5,1677605058,17
1,11,1677605058,17
1,7,1677940542,14
1,10,1677940542,14
1,8,1677940542,14
1,5,1678287768,15
1,6,1678287768,15
1,2,1678635202,15
1,1,1678635202,15
1,11,1678815831,17
1,12,1679244834,16
1,8,1679244834,16
1,13,1679244834,16
2,14,1673540899,16
2,15,1673540899,16
2,16,1675958662,16
2,15,1675958662,16
2,17,1675958662,16
3,18,1673698225,12
3,19,1673698225,12
3,20,1673698225,12
3,20,1674059195,16
3,21,1674842043,17
3,22,1674842043,17
3,23,1674842043,17
3,24,1677580250,10
3,25,1677580250,10
3,26,1678027653,14
3,26,1678027653,14
3,27,1678027653,14
3,28,1678027653,14
3,29,1678027653,14
3,30,1678619169,11
3,20,1678619169,11
3,30,1679071582,16
3,20,1679071582,16
3,31,1679071582,16
3,24,1679822398,9
3,32,1679822398,9
3,33,1679933875,16
3,31,1679933875,16
4,34,1674926147,17
4,35,1674926147,17
4,34,1674926147,17
4,36,1674926147,17
4,37,1674926147,17
4,38,1674926147,17
5,39,1672768319,17
5,40,1673712596,16
5,41,1676492011,20
5,39,1678298810,18
5,42,1679758739,15
5,41,1680204655,19
6,43,1672940955,17
6,44,1672940955,17
6,45,1672940955,17
6,46,1672940955,17
6,43,1673112233,17
6,44,1673112233,17
6,45,1673112233,17
6,46,1673112233,17
6,43,1674319420,16
6,44,1674319420,16
6,45,1674319420,16
6,46,1674319420,16
6,45,1675273193,17
6,47,1675273193,17
6,46,1675273193,17
6,43,1675273193,17
6,44,1675273193,17
6,45,1676136462,17
6,47,1676136462,17
6,43,1676136462,17
6,44,1676136462,17
6,46,1676136462,17
6,48,1678465677,16
6,49,1678465677,16
6,50,1678465677,16
6,51,1678465677,16
6,52,1678465677,16
6,53,1678465677,16
6,54,1678465677,16
6,55,1678465677,16
6,45,1679760673,16
6,47,1679760673,16
6,43,1679760673,16
6,44,1679760673,16
6,46,1679760673,16
7,56,1672767967,17
7,57,1673545177,17
7,58,1674235392,17
7,59,1674554872,10
7,60,1674554872,10
7,61,1674554872,10
7,62,1675527551,16
7,63,1675761061,9
7,64,1675761061,9
7,65,1676395830,17
7,61,1676974887,10
7,59,1676974887,10
7,60,1676974887,10
7,61,1677262418,18
7,59,1677262418,18
7,60,1677262418,18
7,60,1679476097,9
7,66,1679476097,9
7,60,1680254139,9
7,59,1680254139,9
7,61,1680254139,9
8,67,1672584342,14
8,68,1672584342,14
8,69,1673971949,16
8,70,1673971949,16
8,71,1675594687,10
8,72,1678188651,11
8,73,1678188651,11
8,74,1678188651,11
8,75,1678896813,16
8,76,1678896813,16
8,77,1678896813,16
9,78,1673722158,18
9,38,1674411814,18
9,79,1674845678,18
9,79,1676052374,18
9,80,1676483024,17
9,38,1676483024,17
9,81,1676712947,9
9,80,1680279828,16
9,38,1680279828,16
10,82,1674814184,10
10,83,1674814184,10
10,83,1676279749,9
10,84,1676886306,9
10,83,1676972492,9
10,85,1677175748,18
10,86,1677175748,18
10,87,1677263165,18
10,85,1677263165,18
10,88,1677666820,10
10,89,1677666820,10
